alpha,d,n,mse,sem,mode,rate_r,slope
1.5,3,64,0.002838525387458947,0.00034441892883447817,control_too_slow_bandwidth,0.5,-0.3037
1.5,3,128,0.001546692955833752,0.0001519295433225649,control_too_slow_bandwidth,0.5,-0.3037
1.5,3,256,0.0012309701609369607,9.92355189345376e-05,control_too_slow_bandwidth,0.5,-0.3037
1.5,3,512,0.0010972739372193286,6.51573916652467e-05,control_too_slow_bandwidth,0.5,-0.3037
1.5,3,1024,0.0009689378214235534,4.835984633173238e-05,control_too_slow_bandwidth,0.5,-0.3037
1.5,3,2048,0.0009028897243715892,3.515446646709249e-05,control_too_slow_bandwidth,0.5,-0.3037
1.5,3,4096,0.0008935055621022134,2.8549965187152753e-05,control_too_slow_bandwidth,0.5,-0.3037
2.5,1,32,0.000262938320690641,2.2880497451134627e-05,optimal,0.8333,-0.8513
2.5,1,64,0.0001223611510497873,1.0069543517763976e-05,optimal,0.8333,-0.8513
2.5,1,128,8.346491725946483e-05,6.202508794871121e-06,optimal,0.8333,-0.8513
2.5,1,256,4.5540262090297945e-05,3.982886675683837e-06,optimal,0.8333,-0.8513
2.5,1,512,2.3535695379918243e-05,1.8259089949788679e-06,optimal,0.8333,-0.8513
2.5,1,1024,1.3536090628863515e-05,1.0479713608700107e-06,optimal,0.8333,-0.8513
2.5,1,2048,6.999738155651553e-06,5.309630967401028e-07,optimal,0.8333,-0.8513
2.5,1,4096,4.09003181760657e-06,3.324498072935482e-07,optimal,0.8333,-0.8513
2.5,1,32,0.00022400249122525947,3.462392861356281e-05,control_too_slow_bandwidth,0.8333,-0.4976
2.5,1,64,0.00010048514727497638,1.7851123484805388e-05,control_too_slow_bandwidth,0.8333,-0.4976
2.5,1,128,6.093384664997649e-05,1.1302291169384515e-05,control_too_slow_bandwidth,0.8333,-0.4976
2.5,1,256,6.034052282103791e-05,8.913882424271134e-06,control_too_slow_bandwidth,0.8333,-0.4976
2.5,1,512,3.0128637236176946e-05,3.896499679095776e-06,control_too_slow_bandwidth,0.8333,-0.4976
2.5,1,1024,2.2921835138506462e-05,2.5083891794353095e-06,control_too_slow_bandwidth,0.8333,-0.4976
2.5,1,2048,2.2609136451902247e-05,1.634852463104701e-06,control_too_slow_bandwidth,0.8333,-0.4976
2.5,1,4096,1.7394866970536052e-05,1.0704079691898313e-06,control_too_slow_bandwidth,0.8333,-0.4976
2.5,2,32,0.001453469790295142,0.00015052816459887683,optimal,0.7143,-0.8149
2.5,2,64,0.0006070160582081725,5.6513754890799636e-05,optimal,0.7143,-0.8149
2.5,2,128,0.0002894185520936843,2.1798832108717437e-05,optimal,0.7143,-0.8149
2.5,2,256,0.00016191075847149075,1.4143511083037128e-05,optimal,0.7143,-0.8149
2.5,2,512,0.00011443192362485186,1.0341934210613427e-05,optimal,0.7143,-0.8149
2.5,2,1024,6.708981447438355e-05,5.26935696822937e-06,optimal,0.7143,-0.8149
2.5,2,2048,4.123050554685654e-05,3.137231898293678e-06,optimal,0.7143,-0.8149
2.5,2,4096,2.2205988831646286e-05,1.8654660338879744e-06,optimal,0.7143,-0.8149
2.5,2,32,0.000800259118522079,0.0001510187301646506,control_too_slow_bandwidth,0.7143,-0.4979
2.5,2,64,0.0003451292907583376,4.56741064315357e-05,control_too_slow_bandwidth,0.7143,-0.4979
2.5,2,128,0.00020514965782476936,2.6133822246525467e-05,control_too_slow_bandwidth,0.7143,-0.4979
2.5,2,256,0.00012636035580662147,1.8158546596276e-05,control_too_slow_bandwidth,0.7143,-0.4979
2.5,2,512,9.308831559375518e-05,1.2760068101411834e-05,control_too_slow_bandwidth,0.7143,-0.4979
